Date,Sales
2010-01-01,109.93
2010-02-01,114.87
2010-03-01,120.58
2010-04-01,126.43
2010-05-01,131.21
2010-06-01,136.92
2010-07-01,134.15
2010-08-01,129.34
2010-09-01,125.88
2010-10-01,128.76
2010-11-01,133.94
2010-12-01,140.12
2011-01-01,114.65
2011-02-01,119.83
2011-03-01,125.47
2011-04-01,131.22
2011-05-01,136.89
2011-06-01,142.75
2011-07-01,139.96
2011-08-01,134.82
2011-09-01,131.15
2011-10-01,134.02
2011-11-01,139.44
2011-12-01,145.88
2012-01-01,119.42
2012-02-01,124.66
2012-03-01,130.21
2012-04-01,136.05
2012-05-01,141.74
2012-06-01,147.63
2012-07-01,144.91
2012-08-01,139.86
2012-09-01,136.44
2012-10-01,139.55
2012-11-01,145.02
2012-12-01,151.36
2013-01-01,124.18
2013-02-01,129.47
2013-03-01,135.11
2013-04-01,140.98
2013-05-01,146.62
2013-06-01,152.44
2013-07-01,149.73
2013-08-01,144.65
2013-09-01,141.33
2013-10-01,144.29
2013-11-01,149.87
2013-12-01,156.18
2014-01-01,129.02
2014-02-01,134.21
2014-03-01,139.88
2014-04-01,145.74
2014-05-01,151.36
2014-06-01,157.29
2014-07-01,154.62
2014-08-01,149.44
2014-09-01,146.08
2014-10-01,149.11
2014-11-01,154.73
2014-12-01,161.02
2015-01-01,133.86
2015-02-01,139.02
2015-03-01,144.61
2015-04-01,150.43
2015-05-01,156.15
2015-06-01,162.04
2015-07-01,159.28
2015-08-01,154.12
2015-09-01,150.91
2015-10-01,153.94
2015-11-01,159.55
2015-12-01,165.87
2016-01-01,138.71
2016-02-01,143.88
2016-03-01,149.53
2016-04-01,155.31
2016-05-01,161.04
2016-06-01,166.96
2016-07-01,164.19
2016-08-01,159.03
2016-09-01,155.78
2016-10-01,158.84
2016-11-01,164.48
2016-12-01,170.72
2017-01-01,143.54
2017-02-01,148.77
2017-03-01,154.41
2017-04-01,160.26
2017-05-01,165.92
2017-06-01,171.85
2017-07-01,169.14
2017-08-01,163.95
2017-09-01,160.72
2017-10-01,163.81
2017-11-01,169.37
2017-12-01,175.66
2018-01-01,148.38
2018-02-01,153.61
2018-03-01,159.25
2018-04-01,165.09
2018-05-01,170.81
2018-06-01,176.71
2018-07-01,173.98
2018-08-01,168.79
2018-09-01,165.58
2018-10-01,168.63
2018-11-01,174.28
2018-12-01,180.54
2019-01-01,153.22
2019-02-01,158.45
2019-03-01,164.08
2019-04-01,169.92
2019-05-01,175.64
2019-06-01,181.55
2019-07-01,178.82
2019-08-01,173.61
2019-09-01,170.39
2019-10-01,173.44
2019-11-01,179.09
2019-12-01,185.35
2020-01-01,158.06
2020-02-01,163.29
2020-03-01,168.93
2020-04-01,174.76
2020-05-01,180.49
2020-06-01,186.38
2020-07-01,183.65
2020-08-01,178.47
2020-09-01,175.26
2020-10-01,178.31
2020-11-01,183.97
2020-12-01,190.22
2021-01-01,162.90
2021-02-01,168.13
2021-03-01,173.76
2021-04-01,179.61
2021-05-01,185.32
2021-06-01,191.22
2021-07-01,188.49
2021-08-01,183.30
2021-09-01,180.10
2021-10-01,183.15
2021-11-01,188.82
2021-12-01,195.06
2022-01-01,167.74
2022-02-01,172.97
2022-03-01,178.60
2022-04-01,184.44
2022-05-01,190.16
2022-06-01,196.06
2022-07-01,193.33
2022-08-01,188.14
2022-09-01,184.94
2022-10-01,187.99
2022-11-01,193.65
2022-12-01,199.89
2023-01-01,172.58
2023-02-01,177.81
2023-03-01,183.44
2023-04-01,189.28
2023-05-01,195.00
2023-06-01,200.90
2023-07-01,198.17
2023-08-01,192.98
2023-09-01,189.78
2023-10-01,192.83
2023-11-01,198.49
2023-12-01,204.73
2024-01-01,177.42
2024-02-01,182.65
2024-03-01,188.28
2024-04-01,194.12
2024-05-01,199.84
2024-06-01,205.74
2024-07-01,203.01
2024-08-01,197.82
2024-09-01,194.62
2024-10-01,197.67
2024-11-01,203.33
2024-12-01,209.57
